datetime,text,retweet_count,reply_count,like_count
2022-01-28 23:59:27+00:00,"Wordle 224 5/6

⬜⬜⬜⬜🟨
⬜🟩🟨⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟨⬜🟨
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:27+00:00,"Wordle 224 3/6

⬛⬛🟨⬛⬛
🟩🟨🟨🟨🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:27+00:00,"Wordle 224 4/6

⬛⬛⬛⬛⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩 

No kuning 😎",0,1,0
2022-01-28 23:59:26+00:00,"@WFKARS Same panic.

Wordle 223 6/6*

⬛🟨⬛⬛🟨
⬛⬛⬛🟨🟨
🟨🟩⬛⬛⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:26+00:00,"Wordle 224 5/6

⬛🟨🟨⬛🟨
⬛⬛⬛⬛⬛
⬛🟩🟩⬛🟩
⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:26+00:00,"Wordle 223 5/6

⬛⬛⬛⬛⬛
🟨⬛⬛⬛🟨
⬛⬛⬛🟩⬛
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩",0,1,0
2022-01-28 23:59:26+00:00,"This one was a bit too close to lewdle LOL 
Wordle 223 5/6

⬜🟨🟨⬜⬜
🟩🟨⬜⬜🟨
🟩⬜🟨🟨🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",0,0,2
2022-01-28 23:59:26+00:00,"Wordle 224 5/6*

⬛⬛⬛⬛🟨
⬛⬛🟨🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:26+00:00,"Wordle 224 4/6

⬜🟨⬜⬜🟨
⬜⬜🟨⬜⬜
🟩🟨🟨🟨🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:25+00:00,"Wordle 224 3/6

⬛⬛⬛⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩

amazing",0,0,0
2022-01-28 23:59:25+00:00,"@Punz0P umm wordle 223 6/6 🧍🏻‍♀️
⬛️⬛️⬛️⬛️⬛️
⬛️⬛️⬛️🟨🟨
⬛️⬛️⬛️⬛️🟨
⬛️⬛️⬛️🟨🟨
⬛️🟨⬛️⬛️🟨
🟩🟩🟩🟩🟩 

i should never play wordle again",0,0,0
2022-01-28 23:59:24+00:00,"Hello friends, if you want me to include you in my daily routine of wordle encouragement hmu",0,0,1
2022-01-28 23:59:24+00:00,"Wordle 223 5/6

🟨🟩⬛⬛⬛
⬛🟩🟩🟨⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:24+00:00,"Wordle 223 X/6

⬛⬛⬛⬛⬛
⬛🟩⬛⬛⬛
🟨🟩⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛🟩",0,0,0
2022-01-28 23:59:23+00:00,"@Modj0r @WordleFR Le Mot (@WordleFR) #20 💀/6

⬛🟨⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩

https://t.co/E6kWYdova8",0,1,1
2022-01-28 23:59:23+00:00,"Wordle 223 5/6

⬜⬜⬜⬜⬜
🟩⬜🟨🟨⬜
🟩🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:22+00:00,"Wordle 224 4/6

⬛⬛🟨⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,2
2022-01-28 23:59:22+00:00,"Wordle 223 5/6

⬛⬛⬛⬛🟨
⬛🟨⬛⬛🟨
🟨⬛⬛🟨🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

Man",0,1,2
2022-01-28 23:59:22+00:00,"Wordle 224 3/6

🟩⬛⬛⬛⬛
🟩🟨🟨⬛⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:21+00:00,"Wordle 224 4/6

⬛⬛⬛⬛🟨
⬛🟨🟨⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,1,0
